tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2024-540,Wimbledon,Grass,128,G,20240701,100,206173,1.0,,Jannik Sinner,R,191.0,ITA,22.8,105870,,,Yannick Hanfmann,R,193.0,GER,32.6,6-3 6-4 3-6 6-3,5,R128,178.0,16.0,3.0,126.0,73.0,58.0,26.0,19.0,9.0,11.0,12.0,3.0,114.0,78.0,53.0,17.0,18.0,1.0,5.0,1.0,9890.0,110.0,556.0
2024-540,Wimbledon,Grass,128,G,20240701,101,126610,,,Matteo Berrettini,R,196.0,ITA,28.2,105916,,,Marton Fucsovics,R,188.0,HUN,32.3,7-6(3) 6-2 3-6 6-1,5,R128,176.0,11.0,0.0,111.0,73.0,59.0,22.0,18.0,9.0,10.0,13.0,4.0,121.0,75.0,49.0,25.0,18.0,9.0,13.0,59.0,845.0,70.0,785.0
2024-540,Wimbledon,Grass,128,G,20240701,102,200175,,,Miomir Kecmanovic,R,183.0,SRB,24.8,111576,,,Sumit Nagal,R,178.0,IND,26.8,6-2 3-6 6-3 6-4,5,R128,159.0,6.0,2.0,105.0,63.0,43.0,25.0,18.0,7.0,11.0,3.0,4.0,121.0,79.0,52.0,15.0,18.0,12.0,19.0,52.0,925.0,73.0,768.0
2024-540,Wimbledon,Grass,128,G,20240701,103,134868,27.0,,Tallon Griekspoor,R,188.0,NED,27.9,123755,,LL,Daniel Elahi Galan,R,191.0,COL,28.0,7-6(3) 6-3 6-4,5,R128,121.0,14.0,9.0,97.0,54.0,45.0,28.0,16.0,0.0,0.0,10.0,2.0,88.0,59.0,45.0,18.0,15.0,7.0,9.0,27.0,1470.0,103.0,592.0
2024-540,Wimbledon,Grass,128,G,20240701,104,133430,,,Denis Shapovalov,L,185.0,CAN,25.2,111797,19.0,,Nicolas Jarry,R,201.0,CHI,28.7,6-1 7-5 6-4,5,R128,113.0,9.0,3.0,81.0,52.0,43.0,22.0,15.0,2.0,2.0,5.0,3.0,81.0,48.0,32.0,16.0,14.0,6.0,10.0,121.0,530.0,20.0,1825.0
2024-540,Wimbledon,Grass,128,G,20240701,105,127157,,,Daniel Altmaier,R,188.0,GER,25.8,209259,,WC,Arthur Fery,R,175.0,GBR,21.9,4-6 7-6(6) 1-6 6-3 6-1,5,R128,223.0,13.0,9.0,142.0,78.0,62.0,24.0,22.0,7.0,14.0,6.0,4.0,167.0,106.0,63.0,34.0,23.0,13.0,21.0,80.0,731.0,247.0,243.0
2024-540,Wimbledon,Grass,128,G,20240701,106,144750,,Q,Lloyd Harris,R,193.0,RSA,27.3,210506,,,Alex Michelsen,R,193.0,USA,19.8,3-6 4-6 7-6(5) 6-2 7-6(9),5,R128,208.0,34.0,6.0,151.0,93.0,81.0,24.0,25.0,5.0,9.0,9.0,1.0,175.0,131.0,94.0,22.0,26.0,11.0,15.0,118.0,541.0,55.0,881.0
2024-540,Wimbledon,Grass,128,G,20240701,107,210097,14.0,,Ben Shelton,L,193.0,USA,21.7,208233,,Q,Mattia Bellucci,L,175.0,ITA,23.0,4-6 6-3 3-6 6-3 6-4,5,R128,209.0,19.0,5.0,149.0,108.0,80.0,22.0,24.0,12.0,14.0,11.0,6.0,147.0,76.0,60.0,40.0,23.0,9.0,12.0,14.0,2595.0,148.0,401.0
2024-540,Wimbledon,Grass,128,G,20240701,108,105777,10.0,,Grigor Dimitrov,R,191.0,BUL,33.1,105583,,,Dusan Lajovic,R,183.0,SRB,34.0,6-3 6-4 7-5,5,R128,104.0,16.0,2.0,84.0,48.0,44.0,21.0,16.0,3.0,4.0,3.0,0.0,82.0,58.0,38.0,10.0,15.0,0.0,4.0,10.0,3750.0,56.0,871.0
2024-540,Wimbledon,Grass,128,G,20240701,109,209992,,,Juncheng Shang,L,180.0,CHN,19.4,106426,,Q,Cristian Garin,R,185.0,CHI,28.0,7-5 6-4 6-4,5,R128,123.0,13.0,2.0,95.0,63.0,55.0,19.0,16.0,5.0,5.0,14.0,2.0,92.0,58.0,45.0,16.0,16.0,6.0,9.0,91.0,658.0,106.0,570.0
